Date,Final Price,Min Stay
2026-09-25,659,2
2026-09-26,676,2
2026-09-27,691,2
2026-09-28,676,2
2026-09-29,729,2
2026-09-30,729,2
2026-10-01,721,2
2026-10-02,752,2
2026-10-03,708,2
2026-10-04,746,2
2026-10-05,741,2
2026-10-06,782,2
2026-10-07,772,2
2026-10-08,800,2
2026-10-09,981,2
2026-10-10,1003,2
2026-10-11,967,2
2026-10-12,829,2
2026-10-13,786,2
2026-10-14,828,2
2026-10-15,974,2
2026-10-16,1130,2
2026-10-17,1118,2
2026-10-18,1046,2
2026-10-19,855,2
2026-10-20,805,2
2026-10-21,707,2
2026-10-22,732,2
2026-10-23,786,2
2026-10-24,760,2
2026-10-25,719,2
2026-10-26,716,2
2026-10-27,739,2
2026-10-28,789,2
2026-10-29,807,2
2026-10-30,844,2
2026-10-31,864,2
2026-11-01,855,2
2026-11-02,818,2
2026-11-03,750,2
2026-11-04,739,2
2026-11-05,790,2
2026-11-06,834,2
2026-11-07,835,2
2026-11-08,822,2
2026-11-09,822,2
2026-11-10,824,2
2026-11-11,788,2
2026-11-12,807,2
2026-11-13,956,2
2026-11-14,938,2
2026-11-15,827,2
2026-11-16,771,2
2026-11-17,776,2
2026-11-18,866,2
2026-11-19,963,2
2026-11-20,1001,2
2026-11-21,1012,2
2026-11-22,934,2
2026-11-23,906,2
2026-11-24,864,2
2026-11-25,862,2
2026-11-26,923,2
2026-11-27,978,2
2026-11-28,1014,2
2026-11-29,936,2
2026-11-30,793,2
2026-12-01,819,3
2026-12-02,809,3
2026-12-03,841,3
2026-12-04,878,3
2026-12-05,896,3
2026-12-06,881,3
2026-12-07,851,3
2026-12-08,855,3
2026-12-09,906,3
2026-12-10,938,3
2026-12-11,1004,3
2026-12-12,1002,3
2026-12-13,1008,3
2026-12-14,985,3
2026-12-15,956,3
2026-12-16,956,3
2026-12-17,1002,3
2026-12-18,1118,3
2026-12-19,1150,3
2026-12-20,1243,3
2026-12-21,1275,3
2026-12-22,1417,3
2026-12-23,1658,4
2026-12-24,1578,4
2026-12-25,1655,4
2026-12-26,1953,4
2026-12-27,2287,4
2026-12-28,2305,4
2026-12-29,2600,4
2026-12-30,2600,4
2026-12-31,2600,4
2027-01-01,2600,5
2027-01-02,2600,5
2027-01-03,2063,5
2027-01-04,1867,5
2027-01-05,1769,5
2027-01-06,1836,5
2027-01-07,1883,5
2027-01-08,1917,5
2027-01-09,1738,5
2027-01-10,1682,5
2027-01-11,1723,5
2027-01-12,1685,5
2027-01-13,1579,5
2027-01-14,1496,5
2027-01-15,1530,5
2027-01-16,1542,5
2027-01-17,1406,5
2027-01-18,1371,5
2027-01-19,1387,5
2027-01-20,1445,5
2027-01-21,1556,5
2027-01-22,1564,5
2027-01-23,1651,5
2027-01-24,1512,5
2027-01-25,1439,5
2027-01-26,1340,5
2027-01-27,1323,5
2027-01-28,1299,5
2027-01-29,1352,5
2027-01-30,1344,5
2027-01-31,1301,5
2027-02-01,1208,4
2027-02-02,1225,4
2027-02-03,1317,4
2027-02-04,1946,6
2027-02-05,1998,6
2027-02-06,1980,6
2027-02-07,1983,6
2027-02-08,1990,6
2027-02-09,1937,6
2027-02-10,1854,6
2027-02-11,1858,6
2027-02-12,1275,4
2027-02-13,1218,4
2027-02-14,1205,4
2027-02-15,1254,4
2027-02-16,1404,4
2027-02-17,1454,4
2027-02-18,1388,4
2027-02-19,1394,4
2027-02-20,1352,4
2027-02-21,1321,4
2027-02-22,1189,4
2027-02-23,1185,4
2027-02-24,1146,4
2027-02-25,1138,4
2027-02-26,1136,4
2027-02-27,1069,4
2027-02-28,1032,4
2027-03-01,977,3
2027-03-02,995,3
2027-03-03,966,3
2027-03-04,1031,3
2027-03-05,1074,3
2027-03-06,1062,3
2027-03-07,1055,3
2027-03-08,1035,3
2027-03-09,1033,3
2027-03-10,1048,3
2027-03-11,1039,3
2027-03-12,1081,3
2027-03-13,1056,3
2027-03-14,993,3
2027-03-15,950,3
2027-03-16,926,3
2027-03-17,921,3
2027-03-18,961,3
2027-03-19,1039,3
2027-03-20,1042,3
2027-03-21,1033,3
2027-03-22,1050,3
2027-03-23,1045,3
2027-03-24,1045,3
2027-03-25,1272,3
2027-03-26,1281,3
2027-03-27,1245,3
2027-03-28,1021,3
2027-03-29,926,3
2027-03-30,934,3
2027-03-31,904,3
2027-04-01,931,2
2027-04-02,999,2
2027-04-03,991,2
2027-04-04,898,2
2027-04-05,835,2
2027-04-06,882,2
2027-04-07,902,2
2027-04-08,967,2
2027-04-09,1041,2
2027-04-10,1050,2
2027-04-11,927,2
2027-04-12,846,2
2027-04-13,843,2
2027-04-14,809,2
2027-04-15,877,2
2027-04-16,942,2
2027-04-17,973,2
2027-04-18,894,2
2027-04-19,907,2
2027-04-20,1204,2
2027-04-21,1206,2
2027-04-22,1203,2
2027-04-23,910,2
2027-04-24,953,2
2027-04-25,878,2
2027-04-26,846,2
2027-04-27,815,2
2027-04-28,764,2
2027-04-29,817,2
2027-04-30,936,2
2027-05-01,956,2
2027-05-02,811,2
2027-05-03,802,2
2027-05-04,789,2
2027-05-05,783,2
2027-05-06,820,2
2027-05-07,834,2
2027-05-08,844,2
2027-05-09,834,2
2027-05-10,789,2
2027-05-11,814,2
2027-05-12,785,2
2027-05-13,815,2
2027-05-14,803,2
2027-05-15,815,2
2027-05-16,837,2
2027-05-17,815,2
2027-05-18,834,2
2027-05-19,805,2
2027-05-20,850,2
2027-05-21,835,2
2027-05-22,851,2
2027-05-23,915,2
2027-05-24,860,2
2027-05-25,876,2
2027-05-26,924,2
2027-05-27,939,2
2027-05-28,917,2
2027-05-29,928,2
2027-05-30,936,2
2027-05-31,861,2
2027-06-01,937,2
2027-06-02,948,2
2027-06-03,963,2
2027-06-04,963,2
2027-06-05,1002,2
2027-06-06,982,2
2027-06-07,966,2
2027-06-08,1012,2
2027-06-09,1383,2
2027-06-10,1472,2
2027-06-11,1542,3
2027-06-12,1545,3
2027-06-13,1430,2
2027-06-14,1119,2
2027-06-15,845,2
2027-06-16,747,2
2027-06-17,802,2
2027-06-18,821,2
2027-06-19,846,2
2027-06-20,791,2
2027-06-21,798,2
2027-06-22,772,2
2027-06-23,771,2
2027-06-24,804,2
